target,source,features,model,H,seed,k,auc_ceiling_within_lco,auc_ceiling_full_lfp,auc_lco_holdout_before,n_cal_cells,n_test_cells,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_after,rank_corr
severson,nasa,no_soh,random_forest,20,123,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_b,warmstart,0.7657294952091861,0.8420406390182896,0.1347644863567887,0.036791680418948286,0.02665015652845483,,,0.7155377623667052,0.3319668282915096,0.1777599129072677,3.8196602389012663e-22,0.5359477124183007,
severson,nasa,no_soh,random_forest,20,123,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,iso,0.6470044388629581,,,0.015337319842021087,0.022604252849676248,0.06853332350374708,0.06853332350374708,0.7155377623667052,-0.4532776365226275,-0.24271880900196313,8.949379239779008e-185,,0.8667512108435315
severson,nasa,no_soh,random_forest,20,123,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,platt,0.7155377623667052,,,0.01708189507893228,0.02269627174594528,0.0,0.0,0.7155377623667052,0.0,0.0,1.0,,0.9999999999777386
severson,nasa,no_soh,random_forest,20,123,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,temp,0.7155377623667052,,,0.48220076404723017,0.2548943452753967,0.0,0.0,0.7155377623667052,0.0,0.0,1.0,,0.9999999887304982
severson,nasa,no_soh,random_forest,20,456,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,zeroshot,raw,0.7152230057493069,0.8659940183792498,0.10834129541446544,0.5285852998998174,0.3025909015059294,,,0.7152230057493069,,,,,
severson,nasa,no_soh,random_forest,20,456,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_b,warmstart,0.7470458243236037,0.9626339016791614,0.08592913002496005,0.02140984384441069,0.01857689035069972,,,0.7152230057493069,0.2100380468685665,0.112578750170948,1.3095400108882316e-07,0.5437908496732027,
severson,nasa,no_soh,random_forest,20,456,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,iso,0.6438794151751426,,,0.013341135157330227,0.022325646341331586,0.0713435905741644,0.0713435905741644,0.7152230057493069,-0.4708843871199822,-0.25239034816464934,1.5282987116527851e-203,,0.8668901690233023
severson,nasa,no_soh,random_forest,20,456,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,platt,0.715223005749307,,,0.013747908253188182,0.022492712109378744,0.0,0.0,0.7152230057493069,7.327731675821023e-16,3.927606859571571e-16,1.0,,0.9999999839959058
severson,nasa,no_soh,random_forest,20,456,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,temp,0.715223005749307,,,0.4823528680030892,0.25484877952747986,0.0,0.0,0.7152230057493069,7.327731675821023e-16,3.927606859571571e-16,1.0,,0.9999999840236089
severson,nasa,no_soh,random_forest,20,789,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,zeroshot,raw,0.7097065840832022,0.840892418638333,0.1450562212200629,0.5302381834730125,0.303521477439397,,,0.7097065840832022,,,,,
severson,nasa,no_soh,random_forest,20,789,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_b,warmstart,0.6998313203663916,0.8403982893733027,0.21994568844542942,0.018600799560707353,0.016578831281080245,,,0.7097065840832022,-0.06288927275653794,-0.03426673567046137,0.021077133553092063,0.6470588235294118,
severson,nasa,no_soh,random_forest,20,789,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,iso,0.6668942765589947,,,0.015876482456328046,0.02184113960842533,0.042812307524207505,0.042812307524207505,0.7097065840832022,-0.27264435284329247,-0.148556845411348,1.99757183528559e-128,,0.8873364097275513
severson,nasa,no_soh,random_forest,20,789,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,platt,0.7097065840832022,,,0.011124351898548442,0.021921605777283845,0.0,0.0,0.7097065840832022,0.0,0.0,1.0,,0.9999999999821975
severson,nasa,no_soh,random_forest,20,789,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,temp,0.7097065840832022,,,0.4834059057412873,0.2549396846535943,0.0,0.0,0.7097065840832022,0.0,0.0,1.0,,0.9999999887702524
severson,nasa,no_soh,random_forest,20,101112,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,zeroshot,raw,0.7149395742796847,0.846275486161611,0.14290451746257396,0.5289736424144313,0.3029588390705923,,,0.7149395742796847,,,,,
severson,nasa,no_soh,random_forest,20,101112,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_b,warmstart,0.7060531452008207,0.8435094466139528,0.2136436887654994,0.022297871465045055,0.01940077666923602,,,0.7149395742796847,-0.05854299351572608,-0.031405796735460983,0.03299006000574317,0.530718954248366,
severson,nasa,no_soh,random_forest,20,101112,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,iso,0.6437461606784856,,,0.014476176213977395,0.022363187681800335,0.07119283331749471,0.07119283331749471,0.7149395742796847,-0.4690157895628233,-0.2516067879032353,1.750921534693476e-212,,0.8724416118160311
severson,nasa,no_soh,random_forest,20,101112,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,platt,0.7149395742796847,,,0.01599665268601731,0.022602597882585222,5.802837044210918e-07,5.802837044210918e-07,0.7149395742796847,0.0,0.0,1.0,,0.9999999999804747
severson,nasa,no_soh,random_forest,20,101112,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,arm_a,temp,0.7149395742796847,,,0.4823917541150483,0.25488726770791065,5.802837044210918e-07,5.802837044210918e-07,0.7149395742796847,0.0,0.0,1.0,,0.9999999878022277
severson,nasa,no_soh,random_forest,20,42,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,zeroshot,raw,0.6805025580015138,0.8475115253374609,0.15242603794780812,0.5330593013963664,0.30706176174134936,,,0.6805025580015138,,,,,
severson,nasa,no_soh,random_forest,20,42,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_b,warmstart,0.863773241723836,0.9843083161111935,0.025324900389677565,0.010864345563354699,0.014622728252388965,,,0.6805025580015138,0.9841081360720917,0.5774267784287925,0.0,0.35163398692810455,
severson,nasa,no_soh,random_forest,20,42,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,iso,0.6727783322137277,,,0.007361055826595864,0.022343181423282017,0.00772422578778631,0.00772422578778631,0.6805025580015138,-0.04147675606500889,-0.024336542658702803,2.7135123413294007e-08,,0.9646960339050553
severson,nasa,no_soh,random_forest,20,42,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,platt,0.680502558001514,,,0.005580640965560071,0.022498643330229624,0.0,0.0,0.6805025580015138,1.1923123646371905e-15,6.995908908356326e-16,1.0,,0.9999999998364023
severson,nasa,no_soh,random_forest,20,42,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,temp,0.6805025580015139,,,0.4833019279993374,0.2552676233157676,1.1102230246251565e-16,1.1102230246251565e-16,0.6805025580015138,5.961561823185952e-16,3.497954454178163e-16,1.0,,0.9999999998371639
severson,nasa,no_soh,random_forest,20,123,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,zeroshot,raw,0.6921811993856517,0.8580554082637752,0.10958143047599082,0.5289252472403138,0.30517317722480475,,,0.6921811993856517,,,,,
severson,nasa,no_soh,random_forest,20,123,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_b,warmstart,0.8192732646246192,0.9716821723391115,0.05851804411195553,0.013654327461154905,0.016609813920969312,,,0.6921811993856517,0.7281060392578829,0.41572286660514546,2.529749214002783e-215,0.5215686274509804,
severson,nasa,no_soh,random_forest,20,123,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,iso,0.644552524569649,,,0.01260452205821334,0.02459187874619176,0.04762811582577953,0.04762811582577953,0.6921811993856517,-0.2728630281534573,-0.15579516463032506,7.436496768887579e-122,,0.893512031283597
severson,nasa,no_soh,random_forest,20,123,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,platt,0.6921811993856517,,,0.014178640577751828,0.02498743547806219,5.589902232205901e-07,5.589902232205901e-07,0.6921811993856517,0.0,0.0,1.0,,0.99999995755396
severson,nasa,no_soh,random_forest,20,123,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,arm_a,temp,0.6921811993856517,,,0.4802681267829272,0.2550889466052026,5.589902232205901e-07,5.589902232205901e-07,0.6921811993856517,0.0,0.0,1.0,,0.9999999893857946
severson,nasa,no_soh,random_forest,20,456,40,0.8667327871852877,0.9978946336184621,0.9594771241830066,40,101,zeroshot,raw,0.700166791778296,0.8459455332527293,0.14776585742404952,0.5263868891277713,0.3008922514563596,,,0.700166791778296,,,,,
