target,source,features,model,H,seed,k,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,auc_ceiling_within_lco,auc_ceiling_full_lfp,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_before,auc_lco_holdout_after,n_cal_cells,n_test_cells,rank_corr
severson,nasa,with_soh,lightgbm,10,101112,10,arm_a,platt,0.8340807813043085,,,0.0074079013091886,0.0095626797733337,0.0,0.0,0.8340807813043085,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,101112,10,arm_a,temp,0.8340807813043085,,,0.5624479469629272,0.3317724948759049,0.0,0.0,0.8340807813043085,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,42,20,zeroshot,raw,0.8317398043172539,0.9912922123074632,0.0355504311844643,0.8923910505827102,0.851732343173466,,,0.8317398043172539,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,20,121,
severson,nasa,with_soh,lightgbm,10,42,20,arm_b,warmstart,0.7185303591682246,0.986323957341615,0.0778187087907694,0.0116597247424586,0.0113239639745778,,,0.8317398043172539,0.911695031163958,0.9999923580086348,-1.4159104990857252,-0.6728542459847893,7.699543862606746e-144,0.9928571428571428,0.9803571428571428,20,121,
severson,nasa,with_soh,lightgbm,10,42,20,arm_a,iso,0.7831744105866688,,,0.0081658232871916,0.0095454104074497,0.0485653937305851,0.0485653937305851,0.8317398043172539,0.911695031163958,0.9999923580086348,-0.6074073659211562,-0.2886458045663113,1.6194462942951289e-71,0.9928571428571428,,20,121,0.31118431239511
severson,nasa,with_soh,lightgbm,10,42,20,arm_a,platt,0.8317398043172539,,,0.0084927400489848,0.0096780954552889,0.0,0.0,0.8317398043172539,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,20,121,1.0
severson,nasa,with_soh,lightgbm,10,42,20,arm_a,temp,0.8317398043172539,,,0.5624197758151692,0.3317576038588667,0.0,0.0,0.8317398043172539,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,20,121,1.0
severson,nasa,with_soh,lightgbm,10,123,20,zeroshot,raw,0.8318497256267943,0.9916112795006709,0.0346114152245719,0.8964555383031072,0.8575813813742741,,,0.8318497256267943,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,20,121,
severson,nasa,with_soh,lightgbm,10,123,20,arm_b,warmstart,0.8450865602785952,0.9915077765437256,0.0484540305777448,0.0152256542492833,0.0144397877812657,,,0.8318497256267943,0.911695031163958,0.9999923580086348,0.1657810006831254,0.0787238457272452,0.0016179632697155,0.9928571428571428,0.9928571428571428,20,121,
severson,nasa,with_soh,lightgbm,10,123,20,arm_a,iso,0.7863824704308742,,,0.0086840604010744,0.0099139403028984,0.0454672551959201,0.0454672551959201,0.8318497256267943,0.911695031163958,0.9999923580086348,-0.5694418086327875,-0.270408846060332,1.813947695806365e-65,0.9928571428571428,,20,121,0.3235175661742131
severson,nasa,with_soh,lightgbm,10,123,20,arm_a,platt,0.8318497256267945,,,0.008938470350311,0.0099608593853792,2.220446049250313e-16,2.220446049250313e-16,0.8318497256267943,0.911695031163958,0.9999923580086348,2.780935002142124e-15,1.320572907534736e-15,1.0,0.9928571428571428,,20,121,0.9999858809031816
severson,nasa,with_soh,lightgbm,10,123,20,arm_a,temp,0.8318497256267943,,,0.5626184766630975,0.3325805048817273,0.0,0.0,0.8318497256267943,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,20,121,1.0
severson,nasa,with_soh,lightgbm,10,456,20,zeroshot,raw,0.8296275054150322,0.9911997214693032,0.0355423170258781,0.8889919246095682,0.8476368638595865,,,0.8296275054150322,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,20,121,
severson,nasa,with_soh,lightgbm,10,456,20,arm_b,warmstart,0.7471964376324595,0.9893040618606498,0.0602051405119124,0.0097608257804998,0.0096089529471731,,,0.8296275054150322,0.911695031163958,0.9999923580086348,-1.0044297915689446,-0.4838501987214944,1.3346330951774438e-82,0.9928571428571428,0.9875,20,121,
severson,nasa,with_soh,lightgbm,10,456,20,arm_a,iso,0.7805200736294864,,,0.0088604476988198,0.0099374015684447,0.0491074317855457,0.0491074317855457,0.8296275054150322,0.911695031163958,0.9999923580086348,-0.5983783638827257,-0.2882486090173146,1.836682977367665e-73,0.9928571428571428,,20,121,0.3139395795709114
severson,nasa,with_soh,lightgbm,10,456,20,arm_a,platt,0.8296275054150322,,,0.0088387476413966,0.010095541854013,0.0,0.0,0.8296275054150322,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,20,121,1.0
severson,nasa,with_soh,lightgbm,10,456,20,arm_a,temp,0.8296275054150322,,,0.5612788311675072,0.3309937028601535,0.0,0.0,0.8296275054150322,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,20,121,1.0
severson,nasa,with_soh,lightgbm,10,789,20,zeroshot,raw,0.8273904879816716,0.9910246253471496,0.0360369436853762,0.8925055398224618,0.8519125307787332,,,0.8273904879816716,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,20,121,
severson,nasa,with_soh,lightgbm,10,789,20,arm_b,warmstart,0.7539967503946237,0.979842111280646,0.1141962568552593,0.0121300822713745,0.0120495142037606,,,0.8273904879816716,0.911695031163958,0.9999923580086348,-0.8705786760311738,-0.4252198285892422,1.5623030982518455e-133,0.9928571428571428,0.9857142857142857,20,121,
severson,nasa,with_soh,lightgbm,10,789,20,arm_a,iso,0.7789922749710527,,,0.0076576018403974,0.0095493875141177,0.0483982130106188,0.0483982130106188,0.8273904879816716,0.911695031163958,0.9999923580086348,-0.5740878389669983,-0.2804037580998299,5.30469987042803e-69,0.9928571428571428,,20,121,0.3148656104480566
