AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,model,H,method,AUC_fold_mean,AUC_fold_std
0.7818431323103809,0.07635253443034543,0.07380107053543321,0.3730509039301988,0.9671607993827079,0.24001507159005275,0.19649384102911566,1.285073496038327,,,0.9148216696561229,0.08165599329445515,6,calce,xgboost,10,iso,0.9148216696561229,0.08165599329445515
0.542570970214876,0.08402685284630673,0.03673840915342934,0.30787769878422394,0.9062967698690738,0.06606380306455664,0.37373900709068913,1.3906004357260764,0.3598700207746354,0.899850915731593,0.9654879961648418,0.041412293571253055,6,calce,xgboost,10,platt,0.9654879961648417,0.041412293571253055
0.7363894680015417,0.08970067374600435,0.07074866457399206,0.3140370167123072,0.9471658679731065,0.06606380306455664,0.5203187333563718,1.3545413118769194,,,0.9654879961648418,0.041412293571253055,6,calce,xgboost,10,temp,0.9654879961648417,0.041412293571253055
0.8441594861669087,0.10907168256383683,0.11022918088724402,0.5586488863588761,0.9838710227810015,0.5486163051608077,0.20102727229481754,1.2350677454059038,0.6704062688886969,0.9638972717042111,0.9665744582361956,0.0361643758856017,6,calce,xgboost,20,raw,0.9665744582361956,0.0361643758856017
0.7817494506141865,0.0712789433080802,0.04673580875148934,0.33805458494376656,0.9709732341392812,0.49339316878583894,0.2090316148027466,1.2946955333040584,,,0.9221453860172311,0.07447641972595963,6,calce,xgboost,20,iso,0.9221453860172312,0.07447641972595963
0.49935900605262395,0.07941313738850869,0.03969279772060483,0.29895601319545856,0.9067053121390702,0.0694340563450511,0.1597535877310441,2.0037472385994333,0.31227876262515003,0.8767609780722099,0.9665744582361956,0.0361643758856017,6,calce,xgboost,20,platt,0.9665744582361956,0.0361643758856017
0.7204514238446241,0.08804809693102442,0.07205488580772734,0.3094137963369728,0.9485762148380941,0.0694340563450511,0.4779403360066823,1.4864770968753411,,,0.9665744582361956,0.0361643758856017,6,calce,xgboost,20,temp,0.9665744582361956,0.0361643758856017
0.8368972493812754,0.10810453642800966,0.10889908687431683,0.5570924253804276,0.9846216371238287,0.5817956656346749,0.18843904506088427,1.3154659149011836,0.6659675970144138,0.9554746294768056,0.9673905299950288,0.03958637453620869,5,calce,xgboost,30,raw,0.9673905299950288,0.03958637453620868
0.769327448784665,0.06732149997628735,0.0704770982310887,0.3414893655831794,0.970431165505184,0.3784520123839009,0.18894332793590177,1.441528303256631,,,0.929830488744192,0.07756119037558576,5,calce,xgboost,30,iso,0.929830488744192,0.07756119037558576
0.4281606707632661,0.07389056955526015,0.027428330409215867,0.28715537669662,0.9045925594459325,0.06278637770897832,-0.1601780218970915,2.9446777013852508,0.27741311440860883,0.824699212011668,0.9673905299950288,0.03958637453620869,5,calce,xgboost,30,platt,0.9673905299950288,0.03958637453620868
0.6867400980548994,0.08604406457532038,0.06378524760705037,0.3034707484165046,0.9458682279910531,0.06278637770897832,0.4139199896666444,1.6215004318696242,,,0.9673905299950288,0.03958637453620869,5,calce,xgboost,30,temp,0.9673905299950288,0.03958637453620868
0.8006975546129143,0.09874076302816268,0.09812235067157865,0.5330814510676392,0.9835350492640854,0.5149847094801223,0.16379620009071946,1.569369866048182,0.6110125303206725,0.9421422929841772,0.9433684244945585,0.07079477774072025,5,calce,xgboost,50,raw,0.9433684244945585,0.07079477774072025
0.7384952813126829,0.0616252220370232,0.053968633046302825,0.2859502962415762,0.9743990984707503,0.5155963302752293,0.19812605908750944,1.6294313352397287,,,0.9205546720840994,0.06778460053882786,5,calce,xgboost,50,iso,0.9205546720840994,0.06778460053882784
0.36017351177753665,0.06345638877350952,0.017163968891309313,0.2596661807827882,0.9058826081680732,0.05896024464831804,-1.5189260038531536,7.109605545428258,0.23781272355554578,0.7694428061904972,0.9433684244945585,0.07079477774072025,5,calce,xgboost,50,platt,0.9433684244945585,0.07079477774072025
0.6410196968202295,0.0801701653810178,0.057865877639143165,0.28766946330787996,0.9438813989144237,0.05896024464831804,0.31740808028479406,1.9572790088711278,,,0.9433684244945585,0.07079477774072025,5,calce,xgboost,50,temp,0.9433684244945585,0.07079477774072025
0.8732545577224631,0.113075322929906,0.11388747452329318,0.751118455257283,0.9857140922201705,0.6199447375031399,0.16385481840845562,0.963272145614353,0.736057751338062,0.9686473772286011,0.9672153521171188,0.0471390282053934,6,calce,lightgbm,10,raw,0.9672153521171186,0.04713902820539341
0.8189364787539777,0.07023259787731925,0.05432134660641963,0.2334836352600297,0.9784634542172893,0.6283597086159256,0.7893452426153651,0.4328623710326658,,,0.9188133721801602,0.05885631167423841,6,calce,lightgbm,10,iso,0.9188133721801602,0.05885631167423841
0.4677000936028496,0.08313518067607545,0.04065424049826232,0.3080809390695909,0.8940000966458066,0.061667922632504396,0.3640028306424054,1.4080895168193808,0.32788399410786756,0.8318195728681662,0.9672153521171188,0.0471390282053934,6,calce,lightgbm,10,platt,0.9672153521171186,0.04713902820539341
0.7670153234348238,0.08405632741767091,0.08726364657133562,0.29287295546677,0.9529813165658909,0.061667922632504396,0.6811907093139753,1.1762861006421543,,,0.9672153521171188,0.04713902820539339,6,calce,lightgbm,10,temp,0.9672153521171186,0.047139028205393396
0.8648732686939327,0.1132545336407055,0.11412016781762577,0.7832616558163176,0.986209756999225,0.6168037895786587,0.14632080502282083,1.114287765166683,0.716806122502661,0.9663399031379303,0.9677421903879351,0.03808984571498958,6,calce,lightgbm,20,raw,0.9677421903879351,0.03808984571498958
0.8005929369339801,0.06483978007496134,0.044272896038080954,0.22873902804945032,0.9743275643387935,0.28583894290700573,0.8014041382677941,0.49196077909709635,,,0.9130335712460619,0.059840546889058696,6,calce,lightgbm,20,iso,0.9130335712460619,0.059840546889058696
0.4803593037571432,0.0788365811234667,0.034349023695139334,0.2971638041169014,0.9052437354615046,0.06781351283969085,0.13733387851465953,2.0628245260223816,0.3259187024199268,0.81418372874692,0.9677421903879351,0.03808984571498958,6,calce,lightgbm,20,platt,0.9677421903879351,0.03808984571498958
0.7531721836679092,0.08376318146506803,0.0947219711829014,0.2952709016804181,0.9520550432273056,0.06781351283969085,0.6027996090186766,1.362304811486628,,,0.9658184248563706,0.042636541054608054,6,calce,lightgbm,20,temp,0.9658184248563707,0.04263654105460806
0.8587483414418398,0.11215947628007146,0.11204373785149735,0.8484198970591372,0.9870524057169865,0.5939318885448917,0.12476409342662256,1.365638450031107,0.6841413964690886,0.9593356209856203,0.9434167351720617,0.06968589305567716,5,calce,lightgbm,30,raw,0.9434167351720617,0.06968589305567716
0.794217772215269,0.06368684216468053,0.04743371971119712,0.2192072627747316,0.9777541328118147,0.358266253869969,0.7901100267314218,0.53878051180975,,,0.9312336036438028,0.050643375996137954,5,calce,lightgbm,30,iso,0.9312336036438026,0.05064337599613796
0.40108697902453255,0.07345268591125677,0.027065730953864418,0.286184355190781,0.9016692948877253,0.06278637770897832,-0.1616852991824788,2.9500833980816337,0.28250876046296564,0.7849039403890948,0.9434167351720617,0.06968589305567716,5,calce,lightgbm,30,platt,0.9434167351720617,0.06968589305567716
0.7281738451259563,0.08643259123738896,0.07961671765610742,0.30361342021002513,0.9575250883972023,0.06253869969040247,0.47719430730202156,1.6382621490766478,,,0.9434167351720617,0.06968589305567713,5,calce,lightgbm,30,temp,0.9434167351720617,0.06968589305567713
0.8410223274473052,0.10116831824355935,0.1014638372741527,0.7271204815463369,0.9872990899687282,0.5811620795107033,0.12752174243355635,1.4432029258299488,0.6617765315891897,0.9615468716800911,0.9417256929134817,0.0762555805976649,5,calce,lightgbm,50,raw,0.9417256929134818,0.0762555805976649
0.7705952889853454,0.055697256981067145,0.018292593712384463,0.2096425131858528,0.9775876175786644,0.3673394495412844,0.6086663284474072,0.9683658591642936,,,0.9113911733371427,0.08009935859145617,5,calce,lightgbm,50,iso,0.9113911733371426,0.08009935859145617
0.365123913496213,0.06318452449698765,0.018909035131625614,0.2582461987633001,0.9070446828845078,0.04941896024464832,-1.497088691608342,7.042003436265384,0.24160954936432738,0.7822831574152123,0.9417256929134817,0.0762555805976649,5,calce,lightgbm,50,platt,0.9417256929134818,0.0762555805976649
0.6957045148137188,0.07610368656495865,0.08203284335692104,0.2756317613026482,0.9526277136666327,0.04941896024464832,0.44020429373948505,1.8042216863934857,,,0.9379745482248371,0.08416111941879495,5,calce,lightgbm,50,temp,0.9379745482248371,0.08416111941879495
0.85213315453332,0.07908721167695047,0.060841366856589196,0.29049560762086624,0.9826507327440464,0.568701331323788,0.4040133000960845,0.7688638756100903,0.6950061777640897,0.9608251527708007,0.9338969831758975,0.07364391889115746,6,calce,random_forest,10,raw,0.9338969831758975,0.07364391889115746
0.7957316546722744,0.07414224422031161,0.056820874198238266,0.3029049021546525,0.9708677038404714,0.5060286360211003,0.2817180402068961,1.3094248022351649,,,0.9173942479542916,0.07070200907967629,6,calce,random_forest,10,iso,0.9173942479542915,0.07070200907967629
0.6560843807045854,0.07633308583744496,0.03374008986609047,0.2760390175828238,0.9274326762236896,0.059532780708364735,0.8374561835899779,0.24900876323119306,0.49448440002442295,0.9423820142182394,0.9338969831758975,0.07364391889115746,6,calce,random_forest,10,platt,0.9338969831758975,0.07364391889115746
0.8187744738219905,0.07551526161428197,0.04187139762490089,0.2605650201164795,0.975016514850211,0.4763878422506908,0.6970538112471708,0.9135330449022218,,,0.9338969831758975,0.07364391889115746,6,calce,random_forest,10,temp,0.9338969831758975,0.07364391889115746
0.8446120040493424,0.07812882024359077,0.060258779870245124,0.2865168311824132,0.9834758175198217,0.5507354774370481,0.3813026785666734,0.8455845633105332,0.6876388504759908,0.9575728086896229,0.932697197241882,0.06959734073330437,6,calce,random_forest,20,raw,0.9326971972418819,0.06959734073330437
0.7822229200219789,0.06997057413842415,0.05090634796889558,0.280321419577797,0.9720673811495055,0.4389179755671902,0.3259879694869325,1.303198904762651,,,0.9165832714245697,0.06342988769130116,6,calce,random_forest,20,iso,0.9165832714245696,0.06342988769130116
0.6373656516310106,0.07346416272330102,0.02852969179495172,0.27129242616494054,0.929039980625675,0.057965594614809275,0.7230165216201735,0.5481715081995018,0.46364442883410706,0.9322072135038366,0.932697197241882,0.06959734073330437,6,calce,random_forest,20,platt,0.9326971972418819,0.06959734073330437
0.8136428443440175,0.07357814773884346,0.04271890536375183,0.25261510553595556,0.9771413653755605,0.4632261281475941,0.6651826454454149,0.9858753347306356,,,0.932697197241882,0.06959734073330437,6,calce,random_forest,20,temp,0.9326971972418819,0.06959734073330437
