source,target,H,feature_set,model,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid,endpoint,AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset
nasa+calce,severson,20,with_soh,xgboost,0.8959900617660977,0.7723943391135557,0.8327713981430902,3.672218998962965,0.44134869592227655,0.7062908496732027,1.9182290117203913,-14.669369062135427,0.8122195100083784,0.9946453775891336,0.9949251280130774,0.014935188767784512,40.0,0.8809091030793583,0.4388678607877273,0.6347746270035423,1.1348650305498107,0.261576159412627,0.7336601307189542,2.66373868803037,-7.213609781359084,,,0.9824225312625744,0.023791430435027176,40.0,0.8959900617660977,0.7395992020572463,0.840870570529195,2.1469009017474643,0.44134869592227655,0.7062908496732027,223.38544323310254,-550.8182643070944,0.8122195100083784,0.9946453775891336,0.9949251280130774,0.014935188767784512,40.0,0.8959900617660977,0.5555091480880375,0.717494367461043,1.4694677914276113,0.44134869592227655,0.7062908496732027,5.76579834294664,-14.630789539178782,,,0.9949251280130774,0.014935188767784512,40.0,combined,,,,,,,,,,,,,,
nasa+calce,severson,20,no_soh,xgboost,0.7501329108844753,0.8011071643242467,0.844971311641641,4.084471765202648,0.0452959192297011,0.29901960784313725,1.1326469248619577,-10.002182446506788,0.6923700962326295,0.8352133446932636,0.8603658864191853,0.13854978963786957,40.0,0.741849038960952,0.5436674487129767,0.7018738967094502,1.5224044152601086,0.04245893845043071,0.3022875816993464,1.1984499368478065,-5.940553973373747,,,0.8497171693747004,0.12224772598881464,40.0,0.7501329108844753,0.752001962282668,0.8468942521722087,2.224059140396188,0.0452959192297011,0.29901960784313725,142.06483710151892,-358.39197633397936,0.6923700962326295,0.8352133446932636,0.8603658864191853,0.13854978963786957,40.0,0.7501329108844753,0.5833030083490369,0.7342392413001577,1.5570793288809448,0.0452959192297011,0.29901960784313725,3.481372979089372,-9.98940873229461,,,0.8603658864191853,0.13854978963786957,40.0,combined,,,,,,,,,,,,,,
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.8068772659565498,0.1915056963812111,0.13383450720658874,0.6542280113542472,0.7565693747319036,0.5166240409207161,0.4094353024939801,-0.3259528519647226,0.6444873027956497,0.9376773473212453,0.942068718689708,0.10489643362213777,11.0,nasa
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.717403349299586,0.2111407255341124,0.16136066161667073,0.9547730810991037,0.6264722212517114,0.3452685421994885,0.13188865039933861,-0.460509227644919,,,0.9271099907964881,0.10358701673146807,11.0,nasa
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7368318564884149,0.2037007269641415,0.11441820181074319,0.5915608948196895,0.6422551517981265,0.3069053708439898,0.8403125622891697,-0.15103098808030205,0.5891706477750205,0.9100315629247318,0.942068718689708,0.10489643362213777,11.0,nasa
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.778772378516624,0.18959174630105827,0.104431292145729,0.567430156416911,0.6920346277320325,0.3375959079283887,0.8845237640714187,-0.3507017723315791,,,0.942068718689708,0.10489643362213777,11.0,nasa
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7622145848305877,0.23473315002450632,0.18467449891919557,0.7714269414864849,0.7017574535771826,0.3631713554987212,0.340132476837237,-0.4303365050717334,0.587812578008739,0.9140804851975104,0.905264039522637,0.11475107575595778,11.0,nasa
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.6627373357369704,0.22708641434998914,0.1244609663071027,0.8527487226887899,0.6039702212293397,0.319693094629156,0.13911446326991883,-0.36347235740430445,,,0.8331905533512116,0.14434688912771346,11.0,nasa
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.673138151581703,0.224649289648783,0.14141053908080645,0.637826744244265,0.5542117608361029,0.23529411764705882,0.6318681723621196,-0.22071238231025028,0.4913340555992503,0.8817602647147347,0.905264039522637,0.11475107575595778,11.0,nasa
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7151790482079119,0.21255567116979363,0.15040686657012667,0.6169564790903279,0.6248445561163417,0.23785166240409208,0.7450569987100164,-0.4162733790963882,,,0.905264039522637,0.11475107575595778,11.0,nasa
